adj,classified_as,sim_to_person,sim_to_product
middle,product,0.44457114,0.5078289
upper,product,0.24558222,0.32368392
youngest,person,0.22486132,0.16753083
defenseless,person,-0.01583314,-0.025506735
innocent,person,0.31094897,0.25331122
disabled,person,0.28883815,0.2615686
younger,person,0.4110595,0.32507008
twin,product,0.15180588,0.21128154
rich,person,0.41299158,0.4123221
indigenous,product,0.18756187,0.24105847
wealthy,person,0.3307814,0.3102842
rightful,person,0.09989697,0.036757886
talented,person,0.46166432,0.30952764
minded,person,0.37261367,0.303689
homeless,product,0.20261836,0.25351125
older,person,0.42286825,0.4026631
smarter,person,0.18848354,0.1448685
overweight,product,0.12760174,0.14971721
willing,person,0.5845679,0.44606638
attractive,person,0.4854465,0.4072373
most,product,0.6635995,0.7136341
obese,product,0.043744862,0.086242795
vulnerable,product,0.32473308,0.37450302
pregnant,person,0.25290972,0.20709217
gay,person,0.29430008,0.24054033
horny,product,-0.11438584,-0.075707674
competent,person,0.34244275,0.21125084
young,person,0.5539648,0.4926114
aged,person,0.25993168,0.24415392
gun,product,0.26416397,0.30661637
brown,product,0.33203316,0.36121994
autistic,product,0.021694064,0.026569068
black,product,0.35218108,0.44569826
unborn,person,-0.0015002489,-0.027175903
elderly,product,0.31681383,0.32558727
chief,person,0.29966056,0.25301898
ready,person,0.62214315,0.4840592
richest,product,0.16084003,0.17740649
experienced,person,0.44912684,0.4093877
former,person,0.3741122,0.36758316
qualified,person,0.34037662,0.23869014
unarmed,person,0.0701288,0.04079312
heterosexual,person,0.090132296,0.0519979
responsible,product,0.42838144,0.44643307
depressed,product,0.22817785,0.25534558
influential,person,0.3133186,0.2824335
fewer,product,0.37631,0.41304207
drunk,product,0.22291768,0.23712641
english,person,0.38888872,0.36064458
supportive,person,0.37675154,0.25492287
immigrant,product,0.23176306,0.2450912
binary,product,-0.0019987822,0.052734733
white,product,0.39233387,0.4408754
dominant,product,0.28529143,0.33518153
average,product,0.33184052,0.3853289
biological,product,0.2165873,0.24172723
familiar,person,0.43452048,0.38155138
sane,person,0.118483305,0.047268033
broke,product,0.29612696,0.32061267
privileged,person,0.2707914,0.19208014
married,person,0.2630396,0.19060874
ethnic,product,0.26195383,0.2702111
jewish,person,0.3038211,0.29168302
proud,person,0.4993264,0.37357724
wider,product,0.27311248,0.35353923
poor,product,0.45039284,0.5404994
nicest,person,0.11958897,0.017146528
immature,product,0.07788032,0.10144919
scummy,person,-0.16378272,-0.19627571
overrated,product,-0.012386322,0.016649246
faithful,person,0.27983963,0.21559036
diverse,product,0.357664,0.37570137
native,product,0.29914927,0.30284595
uneducated,product,0.008600593,0.022126496
asian,product,0.33673614,0.34707916
smartest,person,0.11656463,0.061944366
intelligent,person,0.3908993,0.30206597
grown,product,0.4152676,0.46343887
famous,product,0.39303708,0.43198425
straight,person,0.39816856,0.37713015
illegitimate,person,0.07919073,0.07755762
able,person,0.69486874,0.60151625
fit,person,0.51751566,0.45368433
retarded,product,0.06141627,0.07302594
ordinary,product,0.42769808,0.4466458
confident,person,0.58591205,0.39017552
rival,person,0.2758938,0.23986316
skilled,person,0.32573473,0.264284
silver,product,0.24166155,0.27629888
ignorant,product,0.11218333,0.120512426
exceptional,person,0.38460422,0.3504387
colored,product,0.21492857,0.2842083
many,product,0.63179046,0.70768476
athletic,person,0.30316734,0.2607093
jealous,person,0.18028677,0.14236236
interested,person,0.56926423,0.44098604
lower,product,0.3398583,0.43319452
incompetent,person,0.102926016,0.084486604
nerdy,person,-0.015147567,-0.08291423
desperate,person,0.3629669,0.32289475
narcissistic,product,-0.08283031,-0.05875373
capable,person,0.43463224,0.43181026
smart,person,0.4679706,0.3914796
elite,person,0.30835927,0.30709875
brave,person,0.34762943,0.27816558
lonely,person,0.2464574,0.21787316
poorer,product,0.18319172,0.25261712
dead,person,0.34931803,0.34295887
loyal,person,0.31601524,0.22802919
ill,product,0.33482778,0.35252208
