adj,p_person_given_adj,normalized_ratio
Upper,0.9193548387096774,17.910369242861865
Middle,0.8136645962732919,15.851369618668853
Rich,0.6875,13.393499806613807
middle,0.6169527896995708,12.019137555681528
upper,0.5167630057803468,10.06729486252254
youngest,0.5087719298245614,9.911617081768432
defenseless,0.47540983606557374,9.26167497804591
innocent,0.468562874251497,9.128286204616487
disabled,0.45625,8.888413508025526
Gay,0.45161290322580644,8.798076119300566
Most,0.4486187845303867,8.739746332874264
Young,0.4457831325301205,8.684503708121987
younger,0.4164420485175202,8.112896721869475
twin,0.3838383838383838,7.477729919578691
rich,0.37590113285272914,7.323100727518456
Former,0.36538461538461536,7.1182236734451
White,0.36024844720496896,7.018163647960256
indigenous,0.35051546391752575,6.828550979192044
wealthy,0.3464566929133858,6.7494802175061706
rightful,0.3383458646616541,6.591469487875558
talented,0.3333333333333333,6.493818088055179
minded,0.3314917127071823,6.457940640054874
homeless,0.3312302839116719,6.452847626931803
older,0.33045729076790337,6.437788596354962
smarter,0.32727272727272727,6.375748668272358
overweight,0.3269230769230769,6.368936970977195
willing,0.3259668508287293,6.35030829605396
attractive,0.3247863247863248,6.3273099319512
Many,0.32158590308370044,6.264961062925481
most,0.3202841596130592,6.2396012070385085
obese,0.3148148148148148,6.133050416496558
vulnerable,0.3008130081300813,5.860274859952235
pregnant,0.2978723404255319,5.802986376559947
Black,0.2911764705882353,5.672541094565848
Lower,0.2727272727272727,5.313123890226964
gay,0.270979020979021,5.279065403751151
Jewish,0.268733850129199,5.235326210525106
horny,0.2631578947368421,5.126698490569878
competent,0.2616279069767442,5.096892103996798
young,0.2615124630333756,5.094643088093988
aged,0.2602739726027397,5.070515493412948
gun,0.26,5.06517810868304
Normal,0.2597402597402597,5.060117990692347
brown,0.2586605080831409,5.0390828581675295
autistic,0.25862068965517243,5.038307137284191
black,0.2533686236766121,4.935989254130488
unborn,0.25274725274725274,4.923884044789092
OTHER,0.25,4.870363566041385
elderly,0.2440944881889764,4.755315607788439
chief,0.24285714285714285,4.731210321297345
ready,0.23414634146341465,4.561511242341199
richest,0.23376623376623376,4.554106191623113
experienced,0.23353293413173654,4.549561175463809
former,0.23298429319371727,4.538872852122338
qualified,0.23170731707317074,4.513995500233478
unarmed,0.22807017543859648,4.443138691827228
heterosexual,0.22727272727272727,4.427603241855804
responsible,0.22712933753943218,4.424809801324665
depressed,0.225,4.383327209437246
influential,0.22413793103448276,4.366532852312965
fewer,0.2235294117647059,4.354678011989944
Venezuelan,0.2226027397260274,4.336625093050547
drunk,0.21929824561403508,4.272248742141565
english,0.21568627450980393,4.201882292270999
supportive,0.20930232558139536,4.077513683197438
Polish,0.20754716981132076,4.043320696336244
immigrant,0.2,3.8962908528331077
binary,0.2,3.8962908528331077
white,0.19987073840685085,3.893772649018059
dominant,0.19863013698630136,3.8696039291835653
average,0.19852164730728616,3.8674903924636967
biological,0.19745222929936307,3.846656574453068
familiar,0.19718309859154928,3.8414135168777115
Turkish,0.19718309859154928,3.8414135168777115
English,0.19630484988452657,3.824303954859286
sane,0.19444444444444445,3.7880605513655214
Other,0.1931166347992352,3.7621928884908593
broke,0.19230769230769232,3.7464335123395265
privileged,0.1896551724137931,3.6947585673417396
married,0.1891891891891892,3.6856805364637504
ethnic,0.18781725888324874,3.658953338954949
jewish,0.18072289156626506,3.5207447465359407
proud,0.18032786885245902,3.5130491296036217
wider,0.1796875,3.5005738130922452
poor,0.17965367965367965,3.499914943562207
nicest,0.17721518987341772,3.452409616434399
immature,0.17647058823529413,3.4379036936762715
Ajax,0.1717171717171717,3.3453002271799406
scummy,0.16981132075471697,3.308171478820563
overrated,0.16981132075471697,3.308171478820563
faithful,0.1694915254237288,3.3019414007060233
diverse,0.1693548387096774,3.299278544737712
native,0.16891891891891891,3.2907861932712055
uneducated,0.16831683168316833,3.2790566583248926
asian,0.168141592920354,3.2756427523818163
Palestinian,0.16666666666666666,3.2469090440275896
smartest,0.16666666666666666,3.2469090440275896
intelligent,0.16612377850162866,3.236332793069845
grown,0.16585365853658537,3.231070463325016
famous,0.16568047337278108,3.2276965644771307
Dutch,0.16551724137931034,3.224516567861882
Irish,0.16412213740458015,3.19733791358442
Damn,0.16363636363636364,3.187874334136179
straight,0.16266375545851527,3.168926512402473
illegitimate,0.1625,3.1657363179269
More,0.16158536585365854,3.147917914636505
able,0.16071428571428573,3.13094800674089
fit,0.16049382716049382,3.126653153508049
retarded,0.15932203389830507,3.103824916663662
ordinary,0.1574074074074074,3.066525208248279
confident,0.1568627450980392,3.0559143943789078
Sweet,0.1568627450980392,3.0559143943789078
rival,0.15584415584415584,3.036070794415408
Hispanic,0.15492957746478872,3.0182534775467733
skilled,0.15463917525773196,3.012596020231784
silver,0.15254237288135594,2.9717472606354214
ignorant,0.15176151761517614,2.9565350644804065
Japanese,0.1511879049676026,2.9453602559213556
Brazilian,0.1509433962264151,2.9405968700627225
exceptional,0.15,2.9222181396248303
Chinese,0.1494413407821229,2.9113346456225035
colored,0.1484375,2.891778367337072
many,0.14814632465166658,2.886105848105662
Native,0.14754098360655737,2.8743129242211447
Stupid,0.14685314685314685,2.8609128639683656
Vietnamese,0.14666666666666667,2.8572799587442788
athletic,0.1464968152866242,2.853971006852276
jealous,0.14492753623188406,2.8233991687196434
interested,0.14492753623188406,2.8233991687196434
lower,0.1437855402112104,2.80115142547303
incompetent,0.14285714285714285,2.783064894880791
nerdy,0.14285714285714285,2.783064894880791
desperate,0.14220183486238533,2.77029854215198
narcissistic,0.14130434782608695,2.752814189501652
Few,0.14084507042253522,2.7438667977697944
capable,0.13966480446927373,2.720873500581779
smart,0.13896103896103895,2.7071631250204056
elite,0.13865546218487396,2.701210045031356
Old,0.1380952380952381,2.6902960650514314
brave,0.13793103448275862,2.6870971398849015
French,0.13758389261744966,2.6803343115127083
lonely,0.13725490196078433,2.6739250950815445
Asian,0.1349206349206349,2.628450178498525
poorer,0.13432835820895522,2.6169117668282067
dead,0.13419689119170986,2.6143505981444948
loyal,0.13392857142857142,2.6091233389507416
Poor,0.13274336283185842,2.5860337518803815
ill,0.13220338983050847,2.575514292550698
sober,0.1320754716981132,2.573022261304882
underage,0.13114754098360656,2.5549448215299067
alive,0.13043478260869565,2.541059251847679
classy,0.12962962962962962,2.525373700910347
unwanted,0.12962962962962962,2.525373700910347
Dead,0.12941176470588237,2.5211293753625994
Regular,0.12857142857142856,2.5047584053927117
grad,0.12790697674418605,2.4918139175095457
scared,0.12745098039215685,2.4829304454328627
foster,0.12698412698412698,2.473835462116259
Dumb,0.12698412698412698,2.473835462116259
Different,0.12608695652173912,2.4563572767860893
other,0.12535398485811708,2.442077922844307
muslim,0.125,2.4351817830206923
med,0.125,2.4351817830206923
idiot,0.125,2.4351817830206923
senior,0.12459016393442623,2.427197580453411
oldest,0.12365591397849462,2.408997032665631
weakest,0.12264150943396226,2.389234956925962
french,0.12244897959183673,2.3854841956121065
abusive,0.12206572769953052,2.3780178914004884
fine,0.12195121951219512,2.375787105386041
random,0.12096774193548387,2.3566275319555086
spanish,0.12048192771084337,2.3471631643572937
Muslim,0.12012987012987013,2.340304570695211
hypothetical,0.11949685534591195,2.3279725221329888
Several,0.1188118811881188,2.3146282294058063
anonymous,0.11851851851851852,2.308913097975175
spoiled,0.11842105263157894,2.307014320756445
medical,0.11780104712041885,2.2949357117472493
handicap,0.11764705882352941,2.291935795784181
angry,0.11738148984198646,2.2867621258162707
normal,0.11608175858079445,2.2614414706956523
Olympic,0.11594202898550725,2.2587193349757144
tall,0.11578947368421053,2.2557473358507463
fellow,0.1154562383612663,2.249255427147604
British,0.1141804788213628,2.224401776018901
phenomenal,0.11392405063291139,2.2194061819935422
naive,0.1134020618556701,2.2092370815033084
surprised,0.11290322580645161,2.1995190298251415
yea,0.11290322580645161,2.1995190298251415
unstable,0.11267605633802817,2.195093438215835
homophobic,0.1125,2.191663604718623
American,0.11225997045790251,2.1869874801722022
alcoholic,0.11224489795918367,2.1866938459777643
Italian,0.11194029850746269,2.180759805690172
virgin,0.1111111111111111,2.1646060293517264
junior,0.1111111111111111,2.1646060293517264
hungry,0.11029411764705882,2.1486898085476693
suburban,0.1095890410958904,2.1349538919633466
intended,0.109375,2.130784060143106
Dear,0.10909090909090909,2.125249556090786
Average,0.10909090909090909,2.125249556090786
inferior,0.10891089108910891,2.1217425436219894
kid,0.10784313725490197,2.1009411461354994
Certain,0.1076923076923077,2.098002766910135
