adj,projection_score
glad,0.3162366
confident,0.23071568
classy,0.20097274
respectful,0.20006515
polite,0.19507731
okay,0.18924077
talented,0.17761639
surprised,0.17247637
nicest,0.17175716
competent,0.16834255
adorable,0.15241803
supportive,0.14030802
nerdy,0.139321
ok,0.13598943
ol,0.1347297
unhappy,0.13303617
sorry,0.13015938
asshole,0.12832439
fantastic,0.12219656
wonderful,0.12134248
sarcastic,0.12024535
creepy,0.11753867
willing,0.11690156
fellow,0.11652072
med,0.11621296
proud,0.11470542
qualified,0.110044256
sane,0.10976225
scummy,0.10948237
honest,0.10722535
ready,0.105822526
seasoned,0.10562841
curious,0.104870215
underage,0.1046956
obnoxious,0.10384524
entertaining,0.103695
honorable,0.10193013
badass,0.10146494
lucky,0.10070147
interested,0.1006797
rightful,0.09871885
disrespectful,0.09510223
loyal,0.08935562
edgy,0.08803773
handsome,0.085520335
lesbian,0.083881184
privileged,0.083184585
respectable,0.08197984
naive,0.081868336
sexy,0.08135926
alive,0.07763456
smartest,0.07717923
idiot,0.07666217
lovely,0.073284954
squad,0.07283755
married,0.07276937
forward,0.07208889
wise,0.07065335
intelligent,0.0706263
comedic,0.069707856
feminist,0.06886396
hearted,0.06572875
interim,0.06436808
whiny,0.06286399
feminine,0.061627652
casual,0.061607655
younger,0.0594556
surprising,0.057148445
trashy,0.055103656
comfortable,0.054756757
youngest,0.053055458
rude,0.052896183
haired,0.05279803
senior,0.052707396
faithful,0.051866654
amazing,0.051826548
unborn,0.051630575
heterosexual,0.05149851
frustrating,0.048848514
professional,0.048411053
sad,0.04778332
manipulative,0.04588471
shooter,0.04462687
motivated,0.043997724
brave,0.043784227
dear,0.043705743
blonde,0.04325533
foolish,0.04256561
sexist,0.04193802
shitty,0.041265666
amateur,0.041229244
sneaky,0.04076481
hardcore,0.040440142
unarmed,0.03940017
sensible,0.039342772
deaf,0.03884994
spoiled,0.03855698
stupidest,0.037768167
sober,0.03774456
scared,0.036952317
minded,0.035895918
mature,0.035741948
smarter,0.03561348
excellent,0.035467748
unnamed,0.035224706
undead,0.03486026
crappy,0.03483253
outstanding,0.034141224
skilled,0.03376881
sure,0.032801367
brilliant,0.032385305
closest,0.03231391
sketchy,0.032214154
innocent,0.030193893
junior,0.028206998
gay,0.026997376
jealous,0.026495986
moronic,0.026462095
yea,0.02625635
smart,0.024987921
attractive,0.023650486
defenseless,0.023615781
pregnant,0.022439444
coolest,0.022429846
homosexual,0.022002235
underrated,0.0214019
reasonable,0.020498501
teenage,0.020174999
awesome,0.020162791
humble,0.018816534
annoying,0.017836906
furious,0.017749637
strongest,0.017708054
unbelievable,0.01757807
foster,0.016433958
homophobic,0.0155076645
grad,0.014932801
anonymous,0.014737879
fascinating,0.013834388
pro,0.013195785
libertarian,0.012157371
chief,0.011335428
incompetent,0.008719532
decent,0.007747527
skinny,0.0076035466
lone,0.0060933856
kid,0.0058069727
tired,0.0039647864
pretentious,0.0037507936
3rd,0.0025635164
athletic,0.0020331293
1st,0.0012726033
dumbest,0.0011811525
healthy,0.0010739114
weakest,0.00085623754
calm,-0.0002608617
uninformed,-0.002008494
able,-0.003245184
rival,-0.0033522034
2nd,-0.0035438084
11th,-0.0037078818
suspicious,-0.004281656
/,-0.004499395
guilty,-0.0046635843
phenomenal,-0.0048558856
favourite,-0.0053849234
disgusting,-0.0066917785
backup,-0.00739009
mediocre,-0.010058478
lonely,-0.010180585
5th,-0.010216077
reliable,-0.011145985
sweet,-0.01128316
righteous,-0.011808007
close,-0.012094873
select,-0.012444664
vile,-0.012520171
familiar,-0.012815439
committed,-0.013258295
fit,-0.013777303
generational,-0.0155710755
autistic,-0.015640939
miserable,-0.017227711
handed,-0.017250493
consistent,-0.017257256
illegitimate,-0.018335931
shady,-0.018597016
wicked,-0.018839758
nationalist,-0.018900206
desperate,-0.019032976
stereotypical,-0.019445533
incoming,-0.01963468
wee,-0.01971508
dumb,-0.020292398
delusional,-0.02139732
6th,-0.022064403
creative,-0.022893298
legged,-0.023178717
selfish,-0.023203405
lazy,-0.023384009
arrogant,-0.023726026
influential,-0.023822231
reactionary,-0.024066279
disabled,-0.02435979
fine,-0.024375327
civilized,-0.02494542
quiet,-0.025205174
9th,-0.025276482
narcissistic,-0.025445165
immoral,-0.025544317
intimate,-0.025759488
peaceful,-0.026454775
young,-0.02865942
uneducated,-0.0293287
inconsistent,-0.029410692
female,-0.029643908
martial,-0.029833628
ruthless,-0.0299538
busy,-0.030785538
greedy,-0.031112073
strange,-0.03170044
ol',-0.03171495
shocking,-0.03247098
nude,-0.03323416
stronger,-0.03354916
apparent,-0.03389792
hateful,-0.03640939
offensive,-0.036454994
exceptional,-0.03671647
spiritual,-0.036752835
bitter,-0.037490975
spanish,-0.03843545
hyper,-0.038503073
aged,-0.039402936
intellectual,-0.03950664
retarded,-0.039907828
developmental,-0.040050756
productive,-0.04207227
incredible,-0.042247403
technical,-0.042354673
experienced,-0.043191474
un,-0.043370266
rational,-0.04367338
irresponsible,-0.04504868
unreasonable,-0.045164224
confused,-0.045267817
horny,-0.04596979
scary,-0.046297543
prestigious,-0.04629785
ignorant,-0.04720641
german,-0.04747457
ultimate,-0.047513742
old,-0.04753224
indie,-0.047822118
wealthy,-0.049307358
english,-0.04969753
racist,-0.051237844
male,-0.051575694
beloved,-0.052778576
balanced,-0.05285311
drunken,-0.053776726
overrated,-0.054546826
insane,-0.05511496
conservative,-0.055283424
missing,-0.055743616
sixth,-0.05579926
round,-0.05731851
vocal,-0.05759538
jewish,-0.05863174
ultra,-0.058883265
caustic,-0.058910362
defensive,-0.058936987
tough,-0.059320953
plenty,-0.059384055
neutral,-0.060443934
psychotic,-0.061192226
super,-0.061449476
unwanted,-0.061521158
hungry,-0.061797906
favorite,-0.061958835
graphic,-0.06284805
existent,-0.06394769
horrible,-0.06419655
loud,-0.06440267
grand,-0.06452758
beautiful,-0.06489888
millennial,-0.065685146
straight,-0.06660283
clinical,-0.06703321
abusive,-0.06749008
sick,-0.06810881
alleged,-0.06820786
immature,-0.068255104
angry,-0.06909565
handicap,-0.06921646
russian,-0.06934001
mutant,-0.070159726
progressive,-0.07019085
stupid,-0.07047113
best,-0.070647955
bizarre,-0.07128642
earliest,-0.07286774
singular,-0.07305348
christian,-0.074453406
suicidal,-0.07446595
fifth,-0.07485712
older,-0.07500039
murderous,-0.07501426
pale,-0.07565245
deepest,-0.075737014
proven,-0.076220326
awful,-0.07622524
french,-0.07641537
salty,-0.07650169
richest,-0.07690723
oldest,-0.077143155
crazy,-0.077262096
mad,-0.07748529
japanese,-0.07798639
overweight,-0.07891378
imaginable,-0.08006396
extraordinary,-0.0800777
terrorist,-0.08026095
cruel,-0.08046759
aforementioned,-0.0808975
behavioral,-0.080961965
weekly,-0.08141909
elite,-0.081569426
regular,-0.082052164
revolutionary,-0.082087405
paranoid,-0.082117654
foreign,-0.08229885
hostile,-0.082496084
dead,-0.08256664
exotic,-0.08417157
modest,-0.0847717
newest,-0.08501002
strong,-0.0856107
hypothetical,-0.08647509
ethnic,-0.087902844
spectacular,-0.0886293
native,-0.08894736
former,-0.08898871
bald,-0.08900482
drunk,-0.089131266
immigrant,-0.08978644
successful,-0.09108996
distant,-0.09136375
good,-0.091795534
alcoholic,-0.09196105
weaker,-0.09197837
communist,-0.09266293
worthless,-0.09358779
prominent,-0.09366575
moderate,-0.09464211
legendary,-0.095923774
ugly,-0.09635325
obese,-0.09670938
eternal,-0.09684438
socioeconomic,-0.09741321
superior,-0.09788203
nazi,-0.09799079
