adj,total,person_ratio,product_ratio,other_ratio,person_count,product_count,other_count
Muy,622,0.19292604501607716,0.19131832797427653,0.6157556270096463,120,119,383
direct,222,0.13513513513513514,0.0045045045045045045,0.8603603603603603,30,1,191
muy,145,0.12413793103448276,0.15862068965517243,0.7172413793103448,18,23,104
French,123,0.10569105691056911,0.008130081300813009,0.8861788617886179,13,1,109
harsh,159,0.07547169811320754,0.012578616352201259,0.9119496855345912,12,2,145
panty,173,0.07514450867052024,0.011560693641618497,0.9132947976878613,13,2,158
intense,150,0.06666666666666667,0.006666666666666667,0.9266666666666666,10,1,139
active,573,0.06457242582897033,0.0034904013961605585,0.9319371727748691,37,2,534
Ordered,110,0.05454545454545454,0.02727272727272727,0.9181818181818182,6,3,101
vertical,186,0.053763440860215055,0.0,0.946236559139785,10,0,176
avid,204,0.049019607843137254,0.0392156862745098,0.9117647058823529,10,8,186
bifocal,178,0.0449438202247191,0.0,0.9550561797752809,8,0,170
golden,228,0.039473684210526314,0.017543859649122806,0.9429824561403509,9,4,215
pet,158,0.0379746835443038,0.0,0.9620253164556962,6,0,152
bright,3432,0.036421911421911424,0.007867132867132868,0.9557109557109557,125,27,3280
unicorn,170,0.03529411764705882,0.029411764705882353,0.9352941176470588,6,5,159
busy,221,0.03167420814479638,0.0,0.9683257918552036,7,0,214
mechanical,167,0.029940119760479042,0.011976047904191617,0.9580838323353293,5,2,160
rich,578,0.029411764705882353,0.03633217993079585,0.9342560553633218,17,21,540
dark,2990,0.0274247491638796,0.08461538461538462,0.8879598662207357,82,253,2655
scarf,119,0.025210084033613446,0.008403361344537815,0.9663865546218487,3,1,115
missing,127,0.023622047244094488,0.0,0.9763779527559056,3,0,124
hot,3492,0.021764032073310423,0.002004581901489118,0.9762313860252004,76,7,3409
just,101,0.019801980198019802,0.019801980198019802,0.9603960396039604,2,2,97
tropical,155,0.01935483870967742,0.012903225806451613,0.967741935483871,3,2,150
realistic,105,0.01904761904761905,0.0,0.9809523809523809,2,0,103
pure,317,0.01892744479495268,0.012618296529968454,0.9684542586750788,6,4,307
happy,1279,0.018764659890539485,0.060203283815480846,0.9210320562939797,24,77,1178
sad,164,0.018292682926829267,0.012195121951219513,0.9695121951219512,3,2,159
distressed,165,0.01818181818181818,0.01818181818181818,0.9636363636363636,3,3,159
tacky,111,0.018018018018018018,0.009009009009009009,0.972972972972973,2,1,108
slinky,112,0.017857142857142856,0.008928571428571428,0.9732142857142857,2,1,109
SMALL,118,0.01694915254237288,0.16101694915254236,0.8220338983050848,2,19,97
dull,297,0.016835016835016835,0.03367003367003367,0.9494949494949495,5,10,282
kinda,179,0.01675977653631285,0.01675977653631285,0.9664804469273743,3,3,173
facial,122,0.01639344262295082,0.00819672131147541,0.9754098360655737,2,1,119
dirty,313,0.01597444089456869,0.019169329073482427,0.9648562300319489,5,6,302
orange,378,0.015873015873015872,0.021164021164021163,0.9629629629629629,6,8,364
excessive,128,0.015625,0.046875,0.9375,2,6,120
late,322,0.015527950310559006,0.003105590062111801,0.9813664596273292,5,1,316
compact,261,0.01532567049808429,0.06513409961685823,0.9195402298850575,4,17,240
rigid,132,0.015151515151515152,0.045454545454545456,0.9393939393939394,2,6,124
deep,1523,0.015101772816808929,0.036769533814839134,0.9481286933683519,23,56,1444
Happy,274,0.014598540145985401,0.043795620437956206,0.9416058394160584,4,12,258
